
-------------------------------------
0p/2s
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 2c/4c0a, Prob: 0.86, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 2, Aspect Suffix Count: 0, Eldritch Annuls: 0
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 2c/3c1a, Prob: 0.8, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 2, Aspect Suffix Count: 1, Eldritch Annuls: 3
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 2c/2c2a, Prob: 0.74, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 1, Aspect Suffix Count: 2, Eldritch Annuls: 3
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 3c/2c2a, Prob: 0.74, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 2, Aspect Suffix Count: 2, Eldritch Annuls: 3
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 2c/2c1a, Prob: 0.7217, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 1, Aspect Suffix Count: 1, Eldritch Annuls: 3
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 2c/2c0a, Prob: 0.605, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 1, Aspect Suffix Count: 0, Eldritch Annuls: 0
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 0c/2c2a, Prob: 0.6, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 0, Aspect Suffix Count: 2, Eldritch Annuls: 3
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 0c/2c1a, Prob: 0.5067, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 3
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 0c/0c0a, Prob: 0.33, Item1 Annul Prob: 0.6667, Item2 Annul Prob: 0.6667, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 0c/2c0a, Prob: 0.31, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0

-------------------------------------
1p/1s
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 3c/3c0a, Prob: 0.9, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 2, Aspect Suffix Count: 0, Eldritch Annuls: 0
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 3c/3c1a, Prob: 0.8875, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 2, Aspect Suffix Count: 1, Eldritch Annuls: 2
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 4c/2c2a, Prob: 0.875, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 2, Aspect Suffix Count: 2, Eldritch Annuls: 2
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 3c/1c2a, Prob: 0.75, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 1, Aspect Suffix Count: 2, Eldritch Annuls: 2
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 2c/2c1a, Prob: 0.685, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 1, Aspect Suffix Count: 1, Eldritch Annuls: 2
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 2c/2c0a, Prob: 0.62, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 1, Aspect Suffix Count: 0, Eldritch Annuls: 0
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 0c/2c2a, Prob: 0.5162, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 0, Aspect Suffix Count: 2, Eldritch Annuls: 2
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 0c/2c1a, Prob: 0.4868, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 2
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 2c/0c0a, Prob: 0.3658, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0.3889, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 1c/1c0a, Prob: 0.33, Item1 Annul Prob: 0.6667, Item2 Annul Prob: 0.6667, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 1c/0c1a, Prob: 0.2475, Item1 Annul Prob: 0.6667, Item2 Annul Prob: 0.6667, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 2

-------------------------------------
2p/0s
